Company_Record_ID,pH,COD_mgL,BOD_mgL,TDS_mgL,Water_Consumption_Ratio,Groundwater_Depth_m,Rainfall_mm
COMP-2026-101,7.21,14994.7,5099.7,685.8,5.98,6.42,43.8
COMP-2026-102,7.51,16050.8,5664.8,877.1,5.12,4.14,65.4
COMP-2026-103,7.57,12626.5,5292.5,901.8,6.1,4.47,60.8
COMP-2026-104,7.21,11339.4,5482.5,693.5,6.79,5.32,56.0
COMP-2026-105,7.39,14793.7,8196.0,1004.0,5.25,4.75,72.9
COMP-2026-106,7.07,17055.7,7906.0,869.1,6.6,3.84,34.6
COMP-2026-107,7.36,17233.4,5558.5,737.8,5.95,4.08,61.6
COMP-2026-108,7.19,15764.7,6825.4,621.7,4.78,5.51,35.4
COMP-2026-109,7.2,11966.1,5184.8,689.1,5.35,6.57,72.7
COMP-2026-110,7.18,14227.8,7230.5,762.3,4.51,3.68,58.7
COMP-2026-111,7.45,15691.8,7281.2,812.3,5.91,4.23,59.7
COMP-2026-112,7.22,16239.6,5328.1,992.3,5.99,5.93,52.4
COMP-2026-113,7.58,12424.7,6046.6,713.8,4.33,6.66,33.6
COMP-2026-114,7.29,15415.9,6322.8,606.6,6.39,4.85,54.8
COMP-2026-115,7.37,15727.0,7431.0,771.2,5.27,4.34,73.6
COMP-2026-116,6.82,25830.1,12681.4,3004.9,9.45,15.24,30.3
COMP-2026-117,7.56,32101.8,23249.4,2652.0,8.92,16.0,27.2
COMP-2026-118,7.01,27204.9,20263.8,2837.0,9.53,12.71,19.1
COMP-2026-119,6.73,38987.8,16075.7,2518.2,9.5,12.03,15.9
COMP-2026-120,8.08,22605.9,18125.0,2353.5,8.15,16.58,14.2
COMP-2026-121,7.43,24622.1,20241.1,2898.3,11.07,11.26,30.2
COMP-2026-122,7.34,31351.9,22084.2,1818.5,11.47,9.39,29.7
COMP-2026-123,6.8,37104.0,22838.6,3087.4,8.09,16.89,22.3
COMP-2026-124,8.0,36220.2,14434.1,2500.3,9.98,14.36,22.2
COMP-2026-125,6.7,41096.9,21395.6,2890.3,9.22,14.18,13.7
COMP-2026-126,6.87,43203.0,22341.3,2914.2,11.04,16.79,20.1
COMP-2026-127,6.59,26786.4,13909.0,1402.0,8.87,16.91,26.8
COMP-2026-128,7.95,37690.9,16907.5,1932.9,9.59,14.46,28.1
COMP-2026-129,6.53,40994.7,11070.7,2506.1,9.93,10.71,24.6
COMP-2026-130,6.33,43802.3,17832.1,2030.6,9.8,11.25,20.9
COMP-2026-131,8.07,41553.4,17772.0,2186.1,8.12,14.29,26.4
COMP-2026-132,7.11,39804.2,20523.4,1654.7,10.66,16.33,12.2
COMP-2026-133,7.74,46790.7,12367.3,2161.0,9.86,14.28,19.4
COMP-2026-134,7.01,30022.9,18697.1,1714.2,12.35,16.48,14.4
COMP-2026-135,7.54,45504.1,18853.7,2235.4,11.53,10.5,18.8
COMP-2026-136,9.11,110609.9,32172.2,4085.5,17.36,28.93,1.0
COMP-2026-137,5.23,107877.8,44178.7,4894.2,17.3,32.5,8.3
COMP-2026-138,5.04,79214.2,38442.6,4064.2,18.77,30.81,5.6
COMP-2026-139,5.29,102761.3,52071.0,5368.0,13.84,31.59,0.7
COMP-2026-140,9.55,76308.0,58692.8,5698.4,13.6,23.01,0.9
COMP-2026-141,9.5,77887.2,52829.8,5243.7,18.99,31.66,3.6
COMP-2026-142,9.57,94465.9,49228.5,4972.7,18.31,23.27,7.1
COMP-2026-143,9.39,87199.7,50971.2,4343.1,16.85,30.54,8.2
COMP-2026-144,9.15,65613.7,48678.7,4724.0,16.61,32.18,5.0
COMP-2026-145,9.46,101614.6,51070.1,5035.3,18.42,28.86,2.0
COMP-2026-146,9.78,101082.5,55036.9,3988.3,16.41,28.45,9.2
COMP-2026-147,4.52,75482.4,44918.3,5533.3,18.66,29.36,8.6
COMP-2026-148,9.33,66808.6,58399.1,4703.3,18.75,30.2,2.1
COMP-2026-149,4.34,98488.8,44243.7,5406.3,15.21,32.42,0.3
COMP-2026-150,5.29,73305.3,61119.4,4534.6,16.77,30.4,9.4
