pH,COD_mgL,BOD_mgL,TDS_mgL,Water_Consumption_Ratio,Groundwater_Depth_m,Rainfall_mm
7.06,17605.7,7928.0,799.3,4.89,3.7,37.6
7.41,14808.9,7832.3,510.3,6.92,6.75,44.6
6.93,11467.2,6217.0,762.4,5.58,4.31,62.5
6.9,12337.2,6465.4,728.0,6.46,3.9,58.1
7.21,10371.6,7430.2,585.3,4.66,7.27,78.5
7.37,12436.9,5390.7,842.1,5.6,3.55,57.3
6.82,17274.6,6035.1,831.3,5.28,5.34,59.6
6.93,17756.7,8100.5,969.7,6.74,5.69,76.5
6.86,11567.9,5180.9,662.7,5.47,4.22,72.3
7.05,12247.5,7170.8,570.5,6.51,3.34,79.4
7.34,11589.7,5022.1,907.7,6.27,6.28,69.7
6.85,12867.7,5463.5,931.6,6.06,4.49,37.9
7.02,12601.5,7918.4,818.8,6.72,5.12,40.4
7.3,16086.3,7245.1,885.5,5.73,5.35,54.2
6.82,10863.1,5125.7,818.2,5.29,5.29,75.8
6.97,13283.1,8022.2,614.4,4.69,4.3,42.3
7.45,16465.0,7533.6,935.7,6.51,3.84,75.2
7.18,16459.5,8584.4,659.0,4.78,4.03,54.2
7.37,16885.8,5027.8,755.4,5.54,4.0,40.4
7.04,17543.3,6292.8,759.4,6.26,4.64,78.7
8.12,30035.6,18464.2,1951.3,9.14,10.3,25.2
7.21,26029.6,15622.4,2862.4,8.96,11.16,22.2
8.17,29841.1,20737.8,2642.4,8.95,15.83,19.2
7.46,37670.6,18965.1,1635.4,11.34,12.57,14.7
6.28,36817.9,20808.3,1524.9,10.05,11.81,26.1
6.55,38818.8,17027.6,2905.1,8.55,12.73,12.8
8.05,42546.8,15353.2,2490.0,11.27,14.44,23.2
6.68,26862.1,23663.8,2850.6,10.53,12.71,18.7
7.65,42942.2,23532.1,2669.8,10.57,10.67,14.0
8.0,37128.6,12119.6,1652.2,10.65,10.04,14.0
7.3,38837.9,20475.5,1836.4,10.85,11.9,18.1
7.69,37992.7,23039.9,2486.4,10.27,10.75,19.2
6.73,29879.8,24649.1,2089.6,11.57,15.05,29.9
