pH,COD_mgL,BOD_mgL,TDS_mgL,Water_Consumption_Ratio,Groundwater_Depth_m,Rainfall_mm
7.06,17605.7,7928.0,799.3,4.89,205695.79737609328,34.0
7.41,14808.9,7832.3,510.3,6.92,204885.11708058792,35.0
6.93,11467.2,6217.0,762.4,5.58,207168.13053613054,36.0
6.9,12337.2,6465.4,728.0,6.46,206790.9602731223,13.0
7.21,10371.6,7430.2,585.3,4.66,207156.3547034152,37.0
7.37,12436.9,5390.7,842.1,5.6,206304.9509569378,21.0
6.82,17274.6,6035.1,831.3,5.28,207680.13971014493,502.0
6.93,17756.7,8100.5,969.7,6.74,205453.31992149167,128.0
6.86,11567.9,5180.9,662.7,5.47,205831.00487329435,38.0
7.05,12247.5,7170.8,570.5,6.51,204566.16909914443,39.0
7.34,11589.7,5022.1,907.7,6.27,207923.39411764705,313.0
6.85,12867.7,5463.5,931.6,6.06,210031.0547652916,162.0
7.02,12601.5,7918.4,818.8,6.72,208459.57502027575,17.0
7.3,16086.3,7245.1,885.5,5.73,207563.69379144063,412.0
6.82,10863.1,5125.7,818.2,5.29,208715.7933130699,418.0
6.97,13283.1,8022.2,614.4,4.69,205070.70472440944,25.0
7.45,16465.0,7533.6,935.7,6.51,206219.92281387397,550.0
7.18,16459.5,8584.4,659.0,4.78,205340.16893595562,4.0
7.37,16885.8,5027.8,755.4,5.54,207017.3281114012,5.0
7.04,17543.3,6292.8,759.4,6.26,208723.2158490566,137.0
8.12,30035.6,18464.2,1951.3,9.14,208406.43000914913,41.0
7.21,26029.6,15622.4,2862.4,8.96,208315.36563071297,42.0
8.17,29841.1,20737.8,2642.4,8.95,208592.88644688643,43.0
7.46,37670.6,18965.1,1635.4,11.34,205170.34447174447,44.0
6.28,36817.9,20808.3,1524.9,10.05,205702.08187134503,102.0
6.55,38818.8,17027.6,2905.1,8.55,204341.5116514691,91.0
8.05,42546.8,15353.2,2490.0,11.27,201591.70412371133,103.0
6.68,26862.1,23663.8,2850.6,10.53,205920.44588414635,47.0
7.65,42942.2,23532.1,2669.8,10.57,208710.25919117648,63.0
8.0,37128.6,12119.6,1652.2,10.65,205896.64285714287,185.0
7.3,38837.9,20475.5,1836.4,10.85,208379.01638349515,699.0
7.69,37992.7,23039.9,2486.4,10.27,205080.07192118227,141.0
6.73,29879.8,24649.1,2089.6,11.57,205960.88335773547,142.0
7.21,36538.1,18402.7,1792.9,10.89,206598.57331303906,106.0
7.49,28542.2,24226.0,2930.9,11.66,205374.98603651987,107.0
8.06,33563.7,24566.5,2945.4,11.41,206588.8880652335,156.0
7.9,31338.4,14203.4,2335.2,11.74,206777.52831858408,108.0
6.39,37300.1,24870.7,1710.1,10.07,206626.62455197133,109.0
7.59,39049.7,16673.4,1940.4,11.24,208758.38129933213,110.0
8.03,35226.8,18519.7,2697.4,10.6,207687.95551801802,294.0
7.98,31759.9,16882.6,1641.0,10.31,205673.65672371638,550.0
7.29,30730.8,19680.8,1545.8,8.15,205025.78716904277,114.0
6.45,35444.9,22009.9,1823.7,10.49,206637.91657397107,137.0
7.26,35812.7,20286.6,2589.1,11.9,207486.70200148257,1355.0
7.79,30416.6,17706.6,1617.7,8.1,208717.35533453888,116.0
7.59,33179.1,14252.8,1734.7,9.0,206755.0351826793,716.0
7.52,30598.7,24413.2,2606.8,10.22,208289.85801340645,235.0
6.7,32119.5,21852.0,1521.6,8.46,208442.02681764006,239.0
7.91,39073.2,18164.3,1646.8,9.97,205763.94906953967,121.0
7.07,32970.1,20006.1,2452.6,8.18,205421.24798387097,245.0
7.21,42129.8,20563.0,1744.4,8.28,209037.48260381594,780.0
7.37,43804.6,19481.2,2082.3,10.57,208628.3408759124,452.0
8.08,32722.1,24495.5,2858.0,8.78,206350.74683544305,12.0
6.24,26888.9,20879.1,1606.8,9.28,206715.32366824005,10.6
7.83,30637.1,13536.1,2545.1,10.52,206581.31911613565,28.4
7.81,30640.7,14306.7,2625.9,11.23,207673.20650210718,20.3
6.94,40528.3,16430.4,2896.1,11.43,204944.9731707317,28.8
7.71,27062.5,23733.2,2257.9,11.31,204895.30389064143,32.4
6.98,25216.8,23770.0,1636.9,9.28,204379.84567901236,33.8
7.35,37636.7,17829.8,1939.8,9.31,206228.99872040947,28.8
5.19,106546.5,59227.4,5790.6,13.36,210776.89686098654,8.2
5.06,98075.5,48546.5,3732.6,13.55,207343.87943737442,1.1
5.23,85666.3,36996.8,4837.0,18.61,206075.71616358325,3.6
9.51,78813.0,32505.0,5287.4,16.63,207316.60556563822,13.6
4.17,80260.1,47144.2,5204.2,17.99,205703.99902581587,11.2
5.02,78743.5,38571.4,5497.8,14.45,205356.1887308534,0.2
5.45,62170.0,57739.3,5614.0,14.64,206119.78911138923,1.1
4.25,82727.1,48826.7,4843.9,18.86,206305.808995687,4.2
9.87,65337.8,40069.8,3890.3,17.2,205672.43804537522,3.4
9.23,109310.5,50944.9,4733.0,15.01,208929.55944477973,10.3
4.24,107026.6,42499.2,4836.7,18.97,206600.16496350366,13.1
9.0,78823.2,54316.6,5770.7,13.98,207039.12795633718,5.7
5.45,63175.6,31104.7,3807.9,13.09,205666.20861900097,10.4
4.8,87771.6,53069.6,5673.0,18.52,205999.71077091308,6.8
4.19,70361.4,56346.6,5241.1,13.3,206442.47737909516,0.3
4.75,86008.2,55565.4,4769.4,16.65,207363.18403412553,6.1
4.2,99233.4,49180.8,5351.6,18.87,212519.54896675653,14.7
4.91,81873.7,57124.8,4301.0,16.34,208539.74515560776,5.9
4.93,99823.6,43780.4,5436.8,18.0,206211.1023890785,0.7
9.22,91670.0,37204.4,3674.5,13.84,207017.4770471464,2.3
9.57,94825.1,42349.8,5510.9,16.35,205393.4019607843,9.0
9.79,73929.5,35310.3,3704.0,13.78,205521.18846153846,3.1
4.55,76079.1,32768.7,4606.6,17.47,206023.06995884774,2.4
8.8,100310.1,52447.8,3924.4,14.36,207704.68175765645,7.3
9.24,96025.8,31870.2,3839.8,13.87,208400.46393762183,12.7
8.84,82370.6,45978.5,4057.7,14.75,208497.106698281,0.3
9.05,86766.8,36996.5,4288.7,16.08,206151.25729571984,9.7
9.5,89342.1,52363.2,4492.8,13.83,204980.98772378516,5.4
9.48,84912.4,39910.5,5647.5,13.05,205976.6722113503,5.5
9.82,74254.8,35201.2,5562.6,13.52,205589.91602634467,6.2
8.93,88799.9,57521.9,3512.2,19.34,206733.04396728016,10.8
5.23,88580.6,38399.4,5269.8,14.22,207371.28991859738,6.4
4.76,95361.5,53033.4,3700.8,16.29,207220.4919594997,4.8
9.24,66720.7,31901.2,5776.9,15.1,208936.92878515858,3.8
5.02,83658.3,48183.1,5326.9,13.69,206339.42110405472,11.2
4.61,106917.0,35437.0,3652.9,17.82,205453.1331747919,12.6
9.75,99976.9,54754.0,3928.7,14.53,29.61,13.6
9.51,100830.0,43174.0,4367.0,16.01,25.62,11.2
4.75,79574.1,45955.7,3653.2,14.49,28.51,6.5
9.68,66963.6,53820.8,4926.2,16.47,32.73,11.8
